Weight,,Weight/sub,GID,25
,,,Comment,
,,,Evaluator,KS
,,,Discount factor,1
,,,Grade,95
100,# sub_results,,Raw points,95
5,5,1.00,Build,5
5,1,5.00,Report,1
12,4,3.00,TS411-TF0,3
4,4,1.00,TS421-TF0,3
11,11,1.00,TS421-TF1,9
4,1,4.00,TS430-TF0,1
5,1,5.00,TS431-TF0,1
8,8,1.00,TS440-TF0,6
5,10,0.50,TS460-TF0,6
,%W Command,,,
10,%WS hh:mm:ss  run for  about 120 sec,10,TS470-1,1
1,%WT,1,TS470-2,1
3,%WS 23:59:55 ,3,TS470-3,1
1,%WT,1,TS470-4,1
3,%WS 11:59:55 ,3,TS470-5,1
1,%WT followed by %WT,1,TS470-6,1
3,%WS 777:888:99 ,3,TS470-7,1
2,"%WS 25:00:00, if runs, wait for 10 sec, type  %WT",2,TS470-8,1
1,"%WS 13:61:00, if runs, wait for 10 sec, type %WT",1,TS470-9,1
1,"%WS 13:50:61, if runs wait for 10 sec, type %WT",1,TS470-10,1
3,%WR,3,TS470-12,1
4,"While the wall clock displaying is on, type %WS11:00:00 ",4,TS470-13,1
,%LT command while the wall clock display is ON,,,
0,TID=0 null,0.00,TS470-21,1
1,TID=1 priv_task1 ((may have a diff. TID)),1.00,TS470-22,1
1,TID=2 task1 ((may have a diff. TID),1.00,TS470-23,1
1,TID=7 WCLCK,1.00,TS470-24,1
1,TID=8 CON,1.00,TS470-25,1
1,TID=9 KCD,1.00,TS470-26,1
,%LM command while the wall clock display is ON,,,
1,TID=7 WCLCK,1.00,,1
1,TID=8 CON,1.00,,1
1,TID=9 KCD,1.00,,1
1,,-1.00,Code fix penalty,
1,1,1.00,bonus - wall clock,5
1,1,1.00,bonus - early demo,
1,1,1.00,bonus-extra features,
1,1,-1.00,other penalties,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
